Picture,ItemNo,alu,ItemName,Attribute,Size,DepartmentName,Vendor,unit,Qty,Cost,RegularPrice,ItemDescription
img/5853.jpg,5853,BC-P4060BSBM / Screw,Double Socket SP 2G 13A Hanligh,BS & BK.,3x6,Swi&Soc: Socket,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,80,13.5,40.5,"13Amp 2Gang Switched Double Socket Single Pole HANLIGHT with Screw 3x6 British Stand Brushed Steel & Black
 Location = G/4H02"
img/5854.jpg,5854,BC-P4327BSBM / Screw,TV & Satelite Socket 1G Hanligh,BS & BK,3x3,Swi&Soc: Others,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,23,9,30,"1Gang Satelite and TV Socket HANLIGHT with Screw 3x3 British Stand Brushed Steel & Black
 Location = G/1B06"
img/5855.jpg,5855,BC-P4423BSBM/Screw,Telephone & Data Socket Hanligh,BS & BK,3x3,Swi&Soc: Others,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,75,11,33,"Telephone RJ11 & Data Socket RJ45 Secondary HANLIGHT with Screw 3x3 British Stand Brushed Steel & Black
 Location = G/1B04"
img/5856.jpg,5856,BC-P3012PCBM / screw,Switch 1G 2Way Hanlight,PC & BK,3x3,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,54,8,24,"1Gang 2Way Switch HANLIGHT British Stand with Screw 3x3 Polished chrome& Black
 Location = G/1B03"
img/5857.jpg,5857,BC-P3022PCBM / screw,Switch 2G 2Way Hanlight,PC & BK,3x3,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,49,9,27,"2Gang 2Way Switch HANLIGHT British Stand with Screw 3x3 polished chrome & Black
 Location = G/1B03"
img/5858.jpg,5858,BC-P3032PCBM / screw,Switch 3G 2Way Hanlight,PC & BK,3x3,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,51,11,33,"3Gang 2Way Switch HANLIGHT British Stand with Screw 3x3 Polished Chrome & Black
 Location = G/1B03"
img/5859.jpg,5859,BC-P3241PCBM / screw,DP Switch 1G Neon 20A Hanlight,PC & BK,3x3,Swi&Soc: Socket,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,170,9,27,"20A 1Gang Double Pole Switch with Neon HANLIGHT British Stand with Screw 3x3 Polished Chrome & Black
 Location = G/1B03"
img/5860.jpg,5860,BC-P3271PCBM / screw,DP Switch 1G Neon 45A Hanlight,PC & BK,3x3,Swi&Soc: Switch,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,39,12,36,"45A 1Gang DP Neon Switch HANLIGHT Double Pole with Screw 3x3 ( Single Plate ) British Stand polished Chrome & Black
 Location = G/1B03"
img/5861.jpg,5861,BC-P8245PCBM / screw,Connection Plate 45A Hanlight,PC & BK,3x3,Swi&Soc: Others,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",,267,14,42,"45A Connection Plate ( Outlet ) HAILER & HANLIGHT with Screw 3x3 Polished Chrome
 Location = G/1B03"
img/5862.jpg,5862,BC-P4191PCBM / screw,Fused Unit With Neon 13A Hanlig,PC & BK,3x3,Swi&Soc: Others,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,104,10,30,"Fused ( Spare ) 1G switch Unit With Neon HAILER & HANLIGHT 13A with Screw 3x3 Polished Chrome ( 4217 )
 Location = G/1B03"
img/5863.jpg,5863,BC-P3515/11PCBM / sc,Dimmer SW 1G 1500W Hanlight,PC & BK,3x3,Swi&Soc: Dimmer,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,160,29,87,"1Gang Dimmer Switch with Screw 1500w HAILER & HANLIGHT Polished Chrome 3x3 
 Location = G/1B03"
img/5864.jpg,5864,BC-P4050PCBM / Screw,Single Socket SP 1G 13A Hanligh,PC & BK,3x3,Swi&Soc: Others,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,206,9,27,"13Amp 1Gang Switched Socket Single Pole HANLIGHT with Screw 3x3 British Stand Polished Chrome & Black
 Location = G/1B03"
img/5865.jpg,5865,BC-P4060PCBM / Screw,Double Socket SP 2G 13A Hanligh,PC & BK,3x6,Swi&Soc: Socket,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",,68,13,40,"13Amp 2Gang Switched Double Socket Single Pole HANLIGHT with Screw 3x6 British Stand Polished Chrome & Black
 Location = G/1B03"
img/5866.jpg,5866,BC-P4327PCBM / Screw,TV & Satelite Socket 1G Hanligh,PC & BK,3x3,Swi&Soc: Others,"HANGZHOU HANLIGHT ELECTRICAL CO.,LTD.",Pcs,38,9,27,"1Gang Satelite and TV Socket HANLIGHT with Screw 3x3 British Stand Polished Chrome & Black
 Location = G/1B03"
